Date,Close/Last,Volume,Open,High,Low
05/13/2016,1.22,N/A,1.22,1.22,1.22
05/12/2016,1.24,N/A,1.24,1.24,1.24
05/11/2016,1.2,N/A,1.2,1.2,1.2
05/10/2016,1.2,N/A,1.2,1.2,1.2
05/09/2016,1.2,N/A,1.2,1.2,1.2
05/06/2016,1.23,N/A,1.23,1.23,1.23
05/05/2016,1.2,N/A,1.2,1.2,1.2
05/04/2016,1.23,N/A,1.23,1.23,1.23
05/03/2016,1.25,N/A,1.25,1.25,1.25
05/02/2016,1.32,N/A,1.32,1.32,1.32
04/29/2016,1.28,N/A,1.28,1.28,1.28
04/28/2016,1.28,N/A,1.28,1.28,1.28
04/27/2016,1.33,N/A,1.33,1.33,1.33
04/26/2016,1.4,N/A,1.4,1.4,1.4
04/25/2016,1.38,N/A,1.38,1.38,1.38
04/22/2016,1.37,N/A,1.37,1.37,1.37
04/21/2016,1.35,N/A,1.35,1.35,1.35
04/20/2016,1.32,N/A,1.32,1.32,1.32
04/19/2016,1.26,N/A,1.26,1.26,1.26
04/18/2016,1.24,N/A,1.24,1.24,1.24
04/15/2016,1.22,N/A,1.22,1.22,1.22
04/14/2016,1.26,N/A,1.26,1.26,1.26
04/13/2016,1.22,N/A,1.22,1.22,1.22
04/12/2016,1.22,N/A,1.22,1.22,1.22
04/11/2016,1.16,N/A,1.16,1.16,1.16
04/08/2016,1.16,N/A,1.16,1.16,1.16
04/07/2016,1.14,N/A,1.14,1.14,1.14
04/06/2016,1.2,N/A,1.2,1.2,1.2
04/05/2016,1.17,N/A,1.17,1.17,1.17
04/04/2016,1.22,N/A,1.22,1.22,1.22
04/01/2016,1.24,N/A,1.24,1.24,1.24
03/31/2016,1.21,N/A,1.21,1.21,1.21
03/30/2016,1.26,N/A,1.26,1.26,1.26
03/29/2016,1.29,N/A,1.29,1.29,1.29
03/28/2016,1.37,N/A,1.37,1.37,1.37
03/25/2016,1.39,N/A,1.39,1.39,1.39
03/24/2016,1.39,N/A,1.39,1.39,1.39
03/23/2016,1.37,N/A,1.37,1.37,1.37
03/22/2016,1.42,N/A,1.42,1.42,1.42
03/21/2016,1.38,N/A,1.38,1.38,1.38
03/18/2016,1.34,N/A,1.34,1.34,1.34
03/17/2016,1.39,N/A,1.39,1.39,1.39
